Greyhound,Plc,Date,Track,Days,Distance,Mgn,Class,Box,In Run,Price,Time,Placing
Smokin' Wal,5/8,2025-07-23,Temora,7,330,11.25,M,6,N/A,$19.00,19,"1. Flashback Jim
2. Leg It Lucy
3. Lumeah Tommy"
Smokin' Wal,5/8,2025-07-16,Gunnedah,28,340,7,M,1,"5,5,5",$2.50,20.2,"1. Lunar Blast
2. Self Inflicted
3. All About Piper"
Smokin' Wal,4/8,2025-06-18,Temora,58,330,11.75,M,8,N/A,$10.00,18.9,"1. Shuffle
2. Impress Seminyak
3. Aston Zelda"
Smokin' Wal,4/7,2025-04-21,Maitland,N/A,400,7.25,M,1,"4,5,5",$8.00,22.5,"1. Diva Ethics
2. Barsando
3. Nature Boy"
Sycamore Twinkle,6/6,2025-06-09,Wagga Wagga,21,400,15,M,5,N/A,$51.00,23.9,"1. Sycamore Cookie
2. Rupertus
3. Olympia Izmir"
Sycamore Twinkle,6/6,2025-05-19,Wagga Wagga,49,320,11,MH,1,N/A,$20.00,18.8,"1. Indecision
2. Riesling Grace
3. Cawbourne Mochi"
Sycamore Twinkle,6/6,2025-03-31,Wagga Wagga,21,320,17.25,M,4,N/A,$34.00,18.7,"1. Yathong Tiger
2. Even Bigger Deal
3. Olympia Izmir"
Sycamore Twinkle,6/7,2025-03-10,Wagga Wagga,14,320,10.75,MH,6,N/A,$51.00,18.9,"1. Dokken
2. Canya Rapid Fire
3. Olympia Izmir"
Sycamore Twinkle,7/7,2025-02-24,Wagga Wagga,75,320,15.75,MH,1,N/A,$3.90,18.9,"1. Fayetta
2. Tiggerlong Roy
3. Laced Up"
Sycamore Twinkle,7/8,2024-12-11,Temora,N/A,330,11.25,M,6,N/A,$0.00,19.2,"1. Tango Anna
2. Dark Panther
3. Rhi's Girl"
Baz Intention,5/8,2025-08-20,Temora,7,330,9.25,M,3,N/A,$7.50,18.7,"1. Silent Minute
2. Smokin' Wal
3. House Money"
Baz Intention,2/8,2025-08-13,Temora,7,330,6.25,M,1,N/A,$11.00,18.7,"1. Ledger's Desire
3. Smokin' Wal"
Baz Intention,6/8,2025-08-06,Temora,7,330,12,M,4,N/A,$9.50,19,"1. Leg It Lucy
2. Smokin' Wal
3. Ratbag Load"
Baz Intention,4/8,2025-07-30,Temora,14,330,6.5,M,7,N/A,$20.00,18.8,"1. Irinka Fred
2. Itchy Knee Sung
3. Swanky Lemon"
Baz Intention,5/8,2025-07-16,Temora,7,330,8,M,2,N/A,$21.00,18.9,"1. Itchy's Magic
2. Leg It Lucy
3. Itchy Knee Sung"
Baz Intention,8/8,2025-07-09,Temora,N/A,330,10,M,5,N/A,$13.00,19.2,"1. Billie Girl
2. Itchy Knee Sung
3. Slick Tease"
Itchy Knee Sung,2/8,2025-08-20,Temora,7,330,0.13,M,3,N/A,$2.05,19.2,"1. Fire Up Ellwood
3. Count Joker"
Itchy Knee Sung,3/7,2025-08-13,Temora,7,457,10.25,M,1,N/A,$10.00,25.8,"1. Irinka Brett
2. Irinka Wayne"
Itchy Knee Sung,5/8,2025-08-06,Temora,7,330,8.25,M,5,N/A,$1.70,19.1,"1. Swanky Lemon
2. Lone Dazzler
3. Let's Go Ari"
Itchy Knee Sung,2/8,2025-07-30,Temora,7,330,0.75,M,6,N/A,$5.00,18.8,"1. Irinka Fred
3. Swanky Lemon"
Itchy Knee Sung,4/8,2025-07-23,Temora,7,330,5.25,M,2,N/A,$1.60,19,"1. Dark Lord
2. Rockholes Viv
3. Double Bingo"
Itchy Knee Sung,3/8,2025-07-16,Temora,7,330,2,M,4,N/A,$3.40,18.9,"1. Itchy's Magic
2. Leg It Lucy"
Itchy Knee Sung,2/8,2025-07-09,Temora,7,330,0.13,M,1,N/A,$2.70,19.2,"1. Billie Girl
3. Slick Tease"
Itchy Knee Sung,5/8,2025-07-02,Temora,7,330,4.5,M,5,N/A,$3.60,19.5,"1. Move Over Joe
2. Lone Sizzler
3. Silent Minute"
Itchy Knee Sung,2/8,2025-06-25,Temora,7,330,1,M,2,N/A,$2.90,19.4,"1. Aston Zelda
3. Lone Sizzler"
Itchy Knee Sung,5/8,2025-06-18,Temora,21,330,18.75,M,1,N/A,$4.50,18.9,"1. Shuffle
2. Impress Seminyak
3. Aston Zelda"
Itchy Knee Sung,4/8,2025-05-28,Temora,28,330,5.25,M,3,N/A,$9.50,19,"1. Spiralling
2. Nugget Ned
3. Impress Kuta"
Itchy Knee Sung,2/8,2025-04-30,Temora,7,330,3.75,M,7,N/A,$11.00,18.9,"1. Benny Moko
3. Silvertree Scar"
Itchy Knee Sung,7/8,2025-04-23,Temora,N/A,330,10,M,5,N/A,$15.00,18.8,"1. Polka Dot Pink
2. Smoky's Desire
3. Dozen Nuggets"
Reefton Wrecker,7/8,2025-08-20,Temora,7,330,10,M,5,N/A,$101.00,19.2,"1. Fire Up Ellwood
2. Itchy Knee Sung
3. Count Joker"
Reefton Wrecker,7/8,2025-08-13,Temora,7,330,16.75,M,2,N/A,$81.00,18.7,"1. Ledger's Desire
2. Baz Intention
3. Smokin' Wal"
Reefton Wrecker,8/8,2025-08-06,Temora,7,330,10.5,M,6,N/A,$101.00,19.1,"1. Swanky Lemon
2. Lone Dazzler
3. Let's Go Ari"
Reefton Wrecker,7/8,2025-07-30,Temora,7,457,23,M,7,N/A,$101.00,25.8,"1. Temora Terror
2. Double Bingo
3. Irinka Wayne"
Reefton Wrecker,5/8,2025-07-23,Temora,49,330,10,M,1,N/A,$61.00,19,"1. Dark Lord
2. Rockholes Viv
3. Double Bingo"
Reefton Wrecker,7/7,2025-06-04,Temora,5,457,19.5,XM5,6,N/A,$101.00,25.7,"1. Ding's Sandy
2. Club Miami
3. Spring Focus"
Reefton Wrecker,6/7,2025-05-30,Wagga Wagga,16,400,19.5,M,2,N/A,$22.00,23.4,"1. Lone Rustler
2. He's A Tiger
3. Olympia Izmir"
Reefton Wrecker,5/7,2025-05-14,Temora,12,457,23.75,M,3,N/A,$67.00,25.5,"1. Magpie Hector
2. Club Miami
3. Blue Swallow"
Reefton Wrecker,8/8,2025-05-02,Wagga Wagga,9,320,11.5,M,4,N/A,$17.00,18.8,"1. Angel's Emma
2. Truffles Girl
3. Guarded Faith"
Reefton Wrecker,3/6,2025-04-23,Temora,14,457,8,M,4,N/A,$7.00,26.1,"1. My Irish Donn
2. Lumeah Rocket"
Reefton Wrecker,4/8,2025-04-09,Temora,7,330,7.75,M,1,N/A,$6.00,18.8,"1. Fulfilment
2. Silvertree Scar
3. Even Bigger Deal"
Reefton Wrecker,3/8,2025-04-02,Temora,7,330,3.75,M,4,N/A,$21.00,19.1,"1. Kim Laurice
2. Aston Zelda"
Reefton Wrecker,5/8,2025-03-26,Temora,10,457,3.5,M,3,N/A,$20.00,26.3,"1. Long Island Blue
2. Mawonga Man
3. My Irish Donn"
Reefton Wrecker,3/7,2025-03-16,Temora,7,457,5.75,M,1,N/A,$91.00,26.2,"1. Forest Prince
2. My Irish Donn"
Reefton Wrecker,7/8,2025-03-09,Temora,23,457,9.25,M,2,N/A,$126.00,26.2,"1. Gold Revolver
2. My Irish Donn
3. Irinka Mandy"
Reefton Wrecker,7/8,2025-02-14,Goulburn,4,440,10.25,M,6,"6,6,6,7",$67.00,25.3,"1. Nieta Rose
2. Lumeah Nancy
3. Mr. Moodie"
Reefton Wrecker,4/7,2025-02-10,Goulburn,10,350,7,MH,3,"5,4,4",$21.00,20.1,"1. Reggae Ethics
2. Ferocious Tito
3. Oh Indeed"
Reefton Wrecker,6/8,2025-01-31,Goulburn,14,440,6,M,4,"7,6,7,6",$91.00,25.5,"1. Ammy's Boy
2. Black Granite
3. Ferocious Vaughn"
Reefton Wrecker,7/7,2025-01-17,Goulburn,4,350,11.5,MF,8,"6,2,7",$67.00,20.6,"1. Spinner Kade
2. Darby Said
3. Ashley's Angel"
Reefton Wrecker,3/6,2025-01-13,Goulburn,N/A,350,7.25,MH,3,"4,5,3",$14.00,20.3,"1. Darby Said
2. Spinner Kade"
Irinka Mandy,4/8,2025-07-16,Gunnedah,32,431,11,M,4,"5,6,4",$5.00,24.9,"1. Lily Bloom
2. Aunty Eve
3. Quirky Nacho"
Irinka Mandy,7/8,2025-06-14,Dubbo,7,516,9.25,XM5,4,"3,7,7,7,7",$6.00,30.1,"1. Little King
2. Merry Merriwa
3. Lumeah Rocket"
Irinka Mandy,2/6,2025-06-07,Dubbo,3,516,3.25,XM5,1,"2,4,4,4,2",$1.85,30.1,"1. Model Fernanda
3. Zipping Streep"
Irinka Mandy,4/8,2025-06-04,Temora,4,457,2.5,XM5,7,N/A,$9.00,26.1,"1. Spiralling
2. Yathong Tiger
3. Mom's Spaghetti"
Irinka Mandy,4/6,2025-05-31,Dubbo,14,516,16.25,XM5,4,"3,4,4,4,4",$3.70,29.7,"1. Greener Pastures
2. Lumeah Rocket
3. Soul Optic"
Irinka Mandy,4/8,2025-05-17,Dubbo,7,516,8.25,XM5,2,"3,4,4",$14.00,29.8,"1. Greener Pastures
2. Zipping Chetty
3. Evander Keeping"
Irinka Mandy,2/6,2025-05-10,Dubbo,28,516,2.5,XM5,2,"3,5,4,4,2",$8.50,30.2,"1. El Rey
3. Evander Keeping"
Irinka Mandy,2/7,2025-04-12,Dubbo,28,516,1.5,XM5,6,"7,5,5,4,2",$9.00,30.5,"1. Punch On Ali
3. Evander Keeping"
Irinka Mandy,4/6,2025-03-15,Dubbo,6,516,15.25,XM5,2,"5,6,6,6,4",$10.00,29.9,"1. Packham Power
2. Kia Keeping
3. Fire Song"
Irinka Mandy,3/8,2025-03-09,Temora,11,457,2.75,M,1,N/A,$4.75,26.2,"1. Gold Revolver
2. My Irish Donn"
Irinka Mandy,3/7,2025-02-26,Temora,7,457,6.5,M,1,N/A,$2.80,26.2,"1. Irinka Harriet
2. Forest Prince"
Irinka Mandy,2/6,2025-02-19,Temora,N/A,457,2,M,1,N/A,$3.10,26.6,"1. Irinka Ted
3. Irinka Alex"
Count Joker,3/8,2025-08-20,Temora,7,330,1.25,M,1,N/A,$23.00,19.2,"1. Fire Up Ellwood
2. Itchy Knee Sung"
Count Joker,5/8,2025-08-13,Temora,30,330,10,M,1,N/A,$21.00,18.8,"1. Ratbag Load
2. Fire Up Ellwood
3. Let's Go Ari"
Count Joker,5/7,2025-07-14,Wagga Wagga,77,320,7,MH,2,N/A,$26.00,18.6,"1. Slick Tease
2. Dana Magic
3. Rupertus"
Count Joker,8/8,2025-04-28,Wagga Wagga,97,320,15,MH,3,N/A,$26.00,18.8,"1. Zipping Odessa
2. Flaming Tikki
3. Destini Sable"
Count Joker,6/6,2025-01-21,Temora,41,330,11.5,M,4,N/A,$17.00,19,"1. Dana Jay
2. My Irish Donn
3. Black Granite"
Count Joker,6/8,2024-12-11,Temora,19,330,8.25,M,4,N/A,$0.00,19.2,"1. Tango Anna
2. Dark Panther
3. Rhi's Girl"
Count Joker,6/8,2024-11-22,Wagga Wagga,9,320,20.25,M,5,N/A,$0.00,18.1,"1. Got A Lesson
2. Satriani
3. Reine Izmir"
Count Joker,8/8,2024-11-13,Temora,26,330,10.25,M,1,N/A,$34.00,19.2,"1. Contiki Time
2. Robin's Chance
3. Manila Shelby"
Count Joker,6/6,2024-10-18,Wagga Wagga,23,400,17.75,M,1,N/A,$16.00,23.2,"1. Ego
2. Big Mizzi
3. Silvertree Shank"
Count Joker,8/8,2024-09-25,Temora,126,330,12.25,M,5,N/A,$34.00,19,"1. Dana Mac
2. Mason Kai
3. Bianca's Secret"
Count Joker,6/8,2024-05-22,Temora,21,330,15.5,M,1,N/A,$16.00,18.8,"1. Impress Spieth
2. Maximus Will
3. Dana Toot"
Count Joker,5/7,2024-05-01,Temora,N/A,330,16,M,6,N/A,$7.50,19.2,"1. Captain Demi
2. Manila Shelby
3. Our Country Boy"
Reefton Mischief,8/8,2025-08-20,Temora,7,330,18,M,2,N/A,$91.00,18.7,"1. Silent Minute
2. Smokin' Wal
3. House Money"
Reefton Mischief,8/8,2025-08-13,Temora,7,330,13.25,M,6,N/A,$101.00,18.8,"1. Ratbag Load
2. Fire Up Ellwood
3. Let's Go Ari"
Reefton Mischief,7/8,2025-08-06,Temora,7,330,10,M,4,N/A,$126.00,19.1,"1. Swanky Lemon
2. Lone Dazzler
3. Let's Go Ari"
Reefton Mischief,8/8,2025-07-30,Temora,28,330,16.75,M,3,N/A,$126.00,18.8,"1. Irinka Fred
2. Itchy Knee Sung
3. Swanky Lemon"
Reefton Mischief,8/8,2025-07-02,Temora,49,330,11.25,M,7,N/A,$81.00,19.5,"1. Move Over Joe
2. Lone Sizzler
3. Silent Minute"
Reefton Mischief,7/8,2025-05-14,Temora,56,330,16,M,1,N/A,$41.00,18.9,"1. Indentations
2. Ding's Sandy
3. Nugget Ned"
Reefton Mischief,7/7,2025-03-19,Temora,91,330,14.25,M,7,N/A,$23.00,19,"1. Aston Prize
2. More Rage
3. Lumeah Rocket"
Reefton Mischief,8/8,2024-12-18,Temora,N/A,330,15.75,M,5,N/A,$23.00,19.1,"1. Hekawi
2. Kim Laurice
3. Dark Panther"
Space King,7/8,2025-08-20,Bendigo,6,425,7.17,T3-M,5,"5,5,4",$10.00,24.8,"1. Belly Rubs
2. Gunai Maverick
3. Scott Scotch"
Space King,2/8,2025-08-14,Shepparton,14,390,3.87,M,5,"2,2",$5.50,23,"1. Market Rose
3. Cranky Joe"
Space King,5/7,2025-07-31,Shepparton,8,390,9.86,M,8,"4,5",$5.00,22.8,"1. Chatter Beast
2. Naughty Marlo
3. Little Splinter"
Space King,4/7,2025-07-23,Bendigo,7,425,9.56,M,7,"4,4,4",$34.00,24.3,"1. Larry Who
2. Bayini
3. Beast Ablaze"
Space King,8/8,2025-07-16,Bendigo,6,425,14.36,T3-M,8,"5,7,8",$6.00,24.3,"1. Angelani
2. Atomic Diva
3. Go Fish"
Space King,4/8,2025-07-10,Shepparton,14,390,2.64,T3-M,7,"2,2",$7.00,22.9,"1. Kid
2. Kraken Bing
3. Present Gift"
Space King,4/8,2025-06-26,Shepparton,7,390,8.3,M,4,"4,4",$9.00,22.3,"1. Powder Dry
2. Green Shoots
3. Kraken Bing"
Space King,4/8,2025-06-19,Shepparton,7,390,8.29,MAIDEN,3,N/A,$9.00,N/A,"1. Huntly Miss
2. Moon Walk
3. Racey Stacey"
Space King,3/8,2025-06-12,Shepparton,8,390,4.61,M,1,"4,3",$3.50,22.8,"1. So Angelic
2. Kid"
Space King,2/8,2025-06-04,Bendigo,7,425,3.34,M,2,"3,2,2",$8.50,24.7,"1. Aston Surprise
3. House Money"
Space King,7/8,2025-05-28,Bendigo,13,425,15.21,T3-M,5,"6,6,6",$18.00,24.2,"1. Simply Ned
2. Brodie's Shadow
3. Whistling By"
Space King,4/7,2025-05-15,Shepparton,10,390,3.79,T3-M,3,"4,2",$11.00,22.5,"1. Aston Crema
2. Scotch Marra
3. Hit The Button"
Space King,2/8,2025-05-05,Shepparton,24,390,5.27,M,6,"6,2",$61.00,22.6,"1. It's Late
3. Sunny Stride"
Space King,5/7,2025-04-11,Horsham,N/A,410,9.06,M,7,"5,4",$12.00,23.6,"1. Hi Good Thanks
2. Diamantina Pearl
3. Warden Ozzie"
No Brakes,8/8,2025-08-20,Bendigo,4,425,15.44,T3-M,6,"5,8,8",$10.00,24.4,"1. Whodat Hooked
2. Two Truths
3. Hesket Hornet"
No Brakes,3/8,2025-08-16,Bendigo,9,425,3.3,M,3,"4,4,4",$18.00,24.7,"1. Energiser Dash
2. Where's Wyche"
No Brakes,6/7,2025-08-07,Shepparton,7,390,9.1,TIER 3 - MAIDEN,5,N/A,$21.00,N/A,"1. Spare A Dime
2. Naughty Marlo
3. Having A Look"
No Brakes,2/7,2025-07-31,Shepparton,8,390,6,M,1,"2,2",$7.50,22.8,"1. Little Marra
3. Ritzy Ruth"
No Brakes,8/8,2025-07-23,Temora,N/A,330,14.5,M,1,N/A,$6.50,19,"1. Flashback Jim
2. Leg It Lucy
3. Lumeah Tommy"
Autumn Angel,4/7,2025-08-13,Bendigo,7,425,7.64,TIER 3 - MAIDEN,8,N/A,$14.00,N/A,"1. Reckless Crime
2. Moraine Alfie
3. Scott Scotch"
Autumn Angel,7/8,2025-08-06,Bendigo,7,425,16.17,M,5,"7,7,7",$17.00,24.6,"1. Ralph Wiggum
2. Reckless Crime
3. Arlo's Pet"
Autumn Angel,4/6,2025-07-30,Bendigo,7,425,4.21,T3-M,7,"5,4,4",$6.50,24.4,"1. Wall House
2. Thermal Ignition
3. Murray River"
Autumn Angel,3/8,2025-07-23,Bendigo,7,425,4.96,M,8,"6,4,3",$23.00,24.6,"1. Magic Loki
2. Pitman Go Fast"
Autumn Angel,5/8,2025-07-16,Bendigo,112,425,11.03,T3-M,3,"3,5,5",$20.00,24.3,"1. Kraken Tommy
2. Ask Nicely
3. Pitman Go Well"
Autumn Angel,3/8,2025-03-26,Bendigo,7,425,2.04,M,3,"3,3,3",$23.00,24.6,"1. Gumtree Hill
2. Articulate"
Autumn Angel,8/8,2025-03-19,Bendigo,4,425,16,T3-M,1,"6,8,8",$26.00,24.2,"1. Montana Icon
2. Aston Finniss
3. Patriot Millard"
Autumn Angel,4/7,2025-03-15,Bendigo,11,425,4.94,M,6,"3,4,4",$41.00,24.3,"1. Jayden
2. Good Neighbour
3. Powder Dry"
Autumn Angel,5/7,2025-03-04,Geelong,6,400,15.39,M,3,2,$11.00,22.9,"1. Gunai Nugget
2. How Delightful
3. Nevermind"
Autumn Angel,3/7,2025-02-26,Bendigo,5,425,7.4,M,8,"3,3,3",$17.00,24.4,"1. Aston Belgian
2. Aston Surprise"
Autumn Angel,2/7,2025-02-21,Bendigo,11,425,0.79,M,4,"3,3,3",$4.80,24.7,"1. Alcatraz Birdman
3. Gumtree Hill"
Autumn Angel,3/5,2025-02-10,Ballarat,5,390,3.04,T3-M,5,"5,3",$3.80,22.6,"1. Elphias Doge
2. Aston Tempest"
Autumn Angel,2/6,2025-02-05,Bendigo,14,425,0.57,M,4,"2,2,2",$6.50,24.4,"1. Jackpot Cash
3. Bogan Bend"
Autumn Angel,4/7,2025-01-22,Bendigo,9,425,4.06,M,6,"6,7,6",$15.00,24.9,"1. Greysynd Will
2. Sandy Cheek
3. Whistling By"
Autumn Angel,4/8,2025-01-13,Ballarat,5,390,7.09,T3-M,6,"5,5",$31.00,22.7,"1. Mauritian Nitro
2. Super Sealant
3. Saleena Bale"
Autumn Angel,4/8,2025-01-08,Bendigo,9,425,10.91,T3-M,7,"4,5,5",$67.00,24.1,"1. Valletta Flash
2. Paw Uma
3. Texas Moon"
Autumn Angel,6/8,2024-12-30,Ballarat,6,390,7.57,T3-M,1,"6,6",$18.00,22.6,"1. Nanna Nap
2. Mauritian Lucas
3. Wizin Woodhouse"
Autumn Angel,4/8,2024-12-24,Ballarat,11,390,4.77,T3-M,8,"6,5",$61.00,22.5,"1. Noah Dear
2. Paw Valentina
3. Aston Action"
Autumn Angel,7/7,2024-12-13,Horsham,2,410,26.36,M,6,"5,6",$0.00,23.3,"1. Fleetwood Odin
2. Hi Good Thanks
3. Candy Stride"
Autumn Angel,5/8,2024-12-11,Bendigo,N/A,425,7.31,T3-M,4,"2,5,5",$0.00,24.9,"1. Highland Jill
2. Sundowner
3. Thermal Spark"
Greysynd Cruiser,3/8,2025-08-21,Warragul,3,460,4.89,M,4,"5,5,4",$61.00,26.6,"1. Eyewitness
2. Darnum Rocket"
Greysynd Cruiser,8/8,2025-08-18,Ballarat,7,390,13.37,TIER 3 - MAIDEN,4,N/A,$61.00,N/A,"1. Wow His Norm
2. Hope In Hardship
3. Keijon Barny"
Greysynd Cruiser,5/8,2025-08-11,Ballarat,98,390,7.73,T3-M,2,"3,7",$81.00,22.7,"1. Doongalla Gem
2. Let It Linger
3. Key Aconite"
Greysynd Cruiser,7/7,2025-05-05,Ballarat,5,450,14.11,T3-M,2,"7,7,5",$34.00,26,"1. Bust Up
2. Yorkshire Girl
3. Lady Rosalyn"
Greysynd Cruiser,7/8,2025-04-30,Bendigo,9,425,2.46,M,2,"5,7,5",$16.00,25,"1. Texas Moon
2. Nana's Rebel
3. Cheer Squad"
Greysynd Cruiser,5/8,2025-04-21,Geelong,4,460,14.51,M,4,"6,6,5",$34.00,26.6,"1. Warden Ozzie
2. Blue Arrow
3. Sleek Machine"
Greysynd Cruiser,6/8,2025-04-17,Bendigo,8,425,9.81,T3-M,2,"7,7,5",$34.00,24.5,"1. Magic Scotch
2. Twilight Rusty
3. Shining Megg"
Greysynd Cruiser,6/6,2025-04-09,Bendigo,7,500,18.19,T3-M,6,"6,6,6",$91.00,28.4,"1. Hollywood Icon
2. Miss Maisie
3. Angelani"
Greysynd Cruiser,5/8,2025-04-02,Bendigo,7,425,9.66,M,8,"8,5,5",$22.00,24.8,"1. Cousin Johnny
2. Another Beverage
3. Cecelia Bloom"
Greysynd Cruiser,6/8,2025-03-26,Bendigo,N/A,500,20.67,M,1,"4,5,6",$15.00,28.5,"1. Aeroplane Ruby
2. Miss Maisie
3. Rebel Sal"
Dodging Shadows,4/7,2025-08-05,Geelong,6,400,15.23,M,6,"5,6",$41.00,22.3,"1. Archie Rolls
2. Lahi James
3. Be Like Wayne"
Dodging Shadows,3/8,2025-07-30,Sale,12,435,8.36,M,6,"8,3,3",$9.50,25,"1. Dr. Hopper
2. Monty's Return"
Dodging Shadows,5/7,2025-07-18,Warragul,8,400,9.76,M,3,"5,6",$13.00,22.8,"1. Sunnyside Jerry
2. Dr. Fallon"
Dodging Shadows,4/8,2025-07-10,Warragul,11,400,3.16,T3-M,3,"5,3",$23.00,23.4,"1. Mia Sienna
2. Rumour I'm Broke
3. Darnum Train"
Dodging Shadows,7/7,2025-06-29,Bendigo,5,425,12.21,M,6,"7,7,7",$51.00,24.4,"1. Salty Snoop
2. West On Beattie
3. Aston Haruto"
Dodging Shadows,7/8,2025-06-24,Warragul,4,400,20.27,M,2,"8,7",$51.00,23.3,"1. Radiate
2. Thunder Rose
3. Carry On Olive"
Dodging Shadows,4/7,2025-06-20,Warragul,N/A,400,8.83,M,2,"7,5",$7.50,23,"1. Aston Chant
2. Select Faith
3. Radiate"
Dance Lady Dance,5/8,2025-08-23,Ballarat,5,390,9.01,M,6,"7,6",$20.00,22.3,"1. Aston Boost
2. Night Sharid
3. Toowoomba Willy"
Dance Lady Dance,2/8,2025-08-18,Ballarat,7,450,3.54,TIER 3 - MAIDEN,2,N/A,$3.90,N/A,"1. Aston Transcend
3. Lady Rosalyn"
Dance Lady Dance,3/7,2025-08-11,Ballarat,5,450,4.21,T3-M,8,"1,2,3",$20.00,25.8,"1. Furious Whisper
2. Hindle Express"
Dance Lady Dance,4/8,2025-08-06,Bendigo,6,425,8.77,M,2,"3,3,4",$9.00,24.6,"1. Ralph Wiggum
2. Reckless Crime
3. Arlo's Pet"
Dance Lady Dance,7/8,2025-07-31,Shepparton,8,450,12.06,M,4,"6,5,7",$11.00,25.7,"1. Go Fish
2. Don't Tell Danni
3. Scott Scotch"
Dance Lady Dance,6/8,2025-07-23,Bendigo,N/A,425,7.87,M,5,"5,3,5",$4.80,24.6,"1. Atomic Diva
2. Wall House
3. Ralph Wiggum"
Texas Cowgirl,6/7,2025-08-18,Shepparton,4,390,13.31,M,3,"7,6",$71.00,22.3,"1. Got A Rustler
2. She Likes Beer
3. Rattler"
Texas Cowgirl,8/8,2025-08-14,Shepparton,7,390,16.57,M,2,"7,8",$8.00,23,"1. Market Rose
2. Space King
3. Cranky Joe"
Texas Cowgirl,5/8,2025-08-07,Shepparton,7,390,4.93,TIER 3 - MAIDEN,4,N/A,$26.00,N/A,"1. Thai Tiger
2. Present Gift
3. Two Truths"
Texas Cowgirl,4/7,2025-07-31,Shepparton,10,390,1.69,M,1,"7,6",$11.00,23,"1. Winter Runnings
2. Crash Rebel
3. Having A Look"
Texas Cowgirl,7/8,2025-07-21,Shepparton,7,390,9.64,M,6,"8,7",$31.00,22.4,"1. Spanish Armada
2. Hunterview Jack
3. Spare A Dime"
Texas Cowgirl,5/7,2025-07-14,Shepparton,N/A,390,11.97,M,1,"7,5",$6.50,22.4,"1. Royal Rupee
2. Little Bella
3. Kraken Nutter"
Sir Trenton,7/7,2025-08-19,Horsham,10,410,10.25,M,8,"5,7",$51.00,23.5,"1. Song About Susan
2. Goblin
3. Dynamite Betty"
Sir Trenton,4/7,2025-08-09,Geelong,N/A,400,0.8,M,7,"4,4",$15.00,23.2,"1. Maisey Mary
2. It's Soysages
3. Aussie Raven"
Jungle Miss,4/7,2025-08-24,Grafton,7,350,4.25,XM5,3,"5,6,6",$12.00,20.5,"1. Pitch Black Bear
2. Round The Ridges
3. Send A Text"
Jungle Miss,6/6,2025-08-17,Grafton,4,450,17.25,5,5,"6,6,6",$81.00,25.2,"1. Holly's Bear
2. Fiery Piastri
3. Speed Holes"
Jungle Miss,7/8,2025-08-13,Gunnedah,14,431,8.75,5,2,"2,5,7",$9.00,25,"1. Genuine Article
2. Kiarni Bad Girl
3. Buster Miller"
Jungle Miss,7/8,2025-07-30,Gunnedah,21,340,9,5,5,"8,7,7",$6.00,19.9,"1. Target Time
2. Quick Edition
3. Genuine Article"
Jungle Miss,6/8,2025-07-09,Gunnedah,7,340,8.25,5,3,"8,7,6",$12.00,19.8,"1. Minty Dancer
2. Major Conflict
3. Very Best Buddy"
Jungle Miss,1/8,2025-07-02,Gunnedah,9,340,-1.25,M,1,"3,2,1",$1.40,19.9,"2. Greysynd Gina
3. Quirky Nacho"
Jungle Miss,2/7,2025-06-23,Gunnedah,15,340,0.13,M,6,"6,5,2",$2.90,19.9,"1. Special Bullet
3. Jungle Ticket"
Jungle Miss,5/8,2025-06-08,Gunnedah,11,431,6.25,XM5,2,"2,5,5",$8.50,25.1,"1. Motor City Chief
2. Merry Merriwa
3. Roto Road"
Jungle Miss,2/8,2025-05-28,Gunnedah,98,340,0.75,MH,5,"4,3,2",$4.50,20,"1. Major Conflict
3. Lumeah Matilda"
Jungle Miss,2/5,2025-02-19,Gunnedah,14,431,5.75,M,6,"2,2,2",$5.00,25.1,"1. Genuine Article
3. Leaving Now"
Jungle Miss,3/7,2025-02-05,Gunnedah,9,340,4,M,5,"2,2,3",$8.00,19.9,"1. Bye Bye Pat
2. Get Up Tiger"
Jungle Miss,2/8,2025-01-27,Gunnedah,17,340,1,M,7,"3,4,2",$18.00,19.9,"1. Bear Man
3. Ava's Milo"
Jungle Miss,8/8,2025-01-10,Ipswich,30,431,23.5,M,3,8,$21.00,25.3,"1. Ringbark Larry
2. Maywyn Nash
3. Cardiff Rose"
Jungle Miss,8/8,2024-12-11,Gunnedah,16,431,14,M,8,"3,8,8",$0.00,25.7,"1. Bardwell
2. Di's An Angel
3. Molly Keeping"
Jungle Miss,6/7,2024-11-25,Gunnedah,N/A,340,18.75,M,3,"5,6,6",$0.00,19.7,"1. Two Odd Socks
2. Warren
3. Bear Man"
Snooping,2/8,2025-08-20,Gunnedah,7,527,5.25,5,4,"4,3,2",$10.00,30.6,"1. Heidi Keeping
3. Barely Light"
Snooping,5/8,2025-08-13,Gunnedah,14,431,9.75,5,8,"7,5,5",$7.00,24.8,"1. Bandit Bugsy
2. Motor City Hawk
3. Danny Whizz Bang"
Snooping,3/8,2025-07-30,Gunnedah,7,431,5.25,5,8,"6,4,3",$16.00,24.8,"1. Bandit Bugsy
2. Volare Alto"
Snooping,1/8,2025-07-23,Gunnedah,7,431,-2.75,5,3,"4,3,1",$8.50,25,"2. Major Conflict
3. Anytime Romeo"
Snooping,7/8,2025-07-16,Gunnedah,7,431,12.25,5,3,"7,7,7",$3.75,25,"1. Robbie's Power
2. Very Best Buddy
3. Major Conflict"
