Greyhound,Plc,Date,Track,Days,Distance,Mgn,Class,Box,In Run,Price,Time,Placing
Tap Out Tiffy,8/8,2025-03-23,Richmond,N/A,401,23.75,M,7,"6,6,6",$16.00,22.9,"1. Hello How Low
2. Lean Brick
3. Lily Bloom"
Lock Star,3/8,2025-08-20,Richmond,43,320,6.25,MH,8,"3,3,3",$20.00,18.4,"1. Winsome Jet
2. Bobby Junior"
Lock Star,8/8,2025-07-08,Bulli,40,400,13.25,M,8,"5,4,8",$13.00,22.7,"1. Elite Whisper
2. Major Ted
3. Ritzy Ethics"
Lock Star,6/8,2025-05-29,Richmond Straight,N/A,324,8.25,M,8,"6,6,6",$5.50,18.4,"1. Eidetic Memory
2. Tarawi Lock
3. Quay"
Terra May,5/8,2025-08-20,Richmond,3,320,9.5,MH,4,"5,5,5",$17.00,18.3,"1. Cash De Oro
2. Winsome Storm
3. Erina Flash"
Terra May,6/8,2025-08-17,Richmond,4,320,10,M,6,"3,3,4",$10.00,18.2,"1. Maybe Next Week
2. Turbo Todd
3. Mccathery"
Terra May,6/8,2025-08-13,Richmond,6,320,9.75,M,4,"6,6,6",$21.00,18.2,"1. Summer Dream
2. Three Hundred
3. Blindspot"
Terra May,3/8,2025-08-07,Richmond Straight,11,324,10.25,M,4,"4,3,2",$11.00,17.8,"1. Zipping Xaden
2. Neat Style"
Terra May,7/8,2025-07-27,Richmond,5,320,8.75,M,4,"6,6,7",$10.00,18.6,"1. Back Tomorrow
2. My Roadster Boy
3. Aorta"
Terra May,5/6,2025-07-22,Bulli,N/A,340,8,M,4,"2,2,5",$4.33,19.4,"1. Moo Moo's Magic
2. Is That Indy
3. Sin City Barbie"
Revolution Rico,3/8,2025-08-20,Cannington,14,381,1.5,M,2,"5,4,3",$12.00,22.2,"1. Bolt Of Fun
2. Alison's Mission"
Revolution Rico,5/8,2025-08-06,Cannington,11,381,7.5,M,4,"7,6,5",$19.00,22,"1. City Of Love
2. Geordie Lad
3. Bolt Of Fun"
Revolution Rico,3/6,2025-07-26,Cannington,10,381,2.5,M,4,"5,5,5",$8.50,22.3,"1. Miss Makutz
2. Akermanis"
Revolution Rico,5/8,2025-07-16,Cannington,7,381,6,M,5,"7,7,7",$17.00,22.2,"1. Rippin' Pedro
2. Crenshaw King
3. Makutz"
